MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
2558,704,4320,44,18,595,3115,54,8846
2559,107,411,14,3,61,1487,12,2090
2560,5114,23726,475,126,3571,26898,372,60279
2563,14,93,0,0,20,113,0,239
2564,1237,3347,51,16,435,5590,76,10757
2565,2144,5698,171,23,930,6818,87,15869
2566,2146,8471,150,53,1248,8408,150,20620
2567,1730,15590,205,69,2420,8698,149,28877
2568,31,404,14,0,66,481,5,994
2569,48,487,8,0,109,426,8,1092
2570,1184,15678,249,81,2958,10620,203,30975
2571,306,4671,89,21,1007,2932,84,9106
2572,67,1545,29,12,328,1574,26,3585
2573,115,1703,33,3,313,1767,35,3971
2574,82,2148,43,18,403,1813,22,4530
2575,222,5445,171,45,1125,5434,82,12521
2576,209,3514,224,30,1176,6108,54,11318
2577,147,4916,301,44,1399,5743,68,12621
2578,35,700,42,3,217,1302,16,2316
2579,44,1239,75,11,376,1513,18,3274
2580,158,9884,442,75,1972,11293,150,23981
2581,8,700,48,10,282,596,21,1659
2582,102,4574,205,38,1182,3657,66,9829
2583,4,1264,92,20,499,1761,30,3677
2584,0,170,11,4,50,196,6,432
2585,0,58,6,0,20,85,0,173
2586,6,720,105,23,267,1075,12,2201
2587,10,808,82,15,219,1260,10,2404
2588,0,80,10,0,27,100,0,215
2590,17,1996,165,22,406,3249,31,5889
2594,31,3582,213,38,812,4443,74,9202
2619,53,4621,89,33,643,1758,26,7228
2621,31,2535,81,20,527,1476,43,4710
2622,21,1080,121,19,386,1601,36,3280
2623,7,222,14,0,41,191,0,479
2625,10,28,122,6,40,138,0,344
2626,0,189,4,5,49,150,3,410
2627,114,1761,254,51,504,1070,32,3790
2628,14,647,44,12,226,582,17,1544
2629,4,121,33,8,43,256,0,471
2630,40,2827,267,34,649,3418,54,7282
2631,3,145,16,0,80,227,3,473
2632,3,589,44,11,157,673,20,1500
2633,0,114,11,0,35,168,6,335
2640,166,13508,816,80,2299,12416,114,29401
2641,84,5075,168,26,704,6232,65,12355
2642,15,1607,88,17,525,1419,33,3702
2643,3,832,40,0,174,1204,16,2274
2644,11,685,60,15,258,908,15,1946
2645,0,76,24,3,37,194,5,337
2646,9,2030,127,30,566,2779,50,5597
2647,5,643,40,3,157,964,18,1823
2648,11,568,79,19,210,1114,35,2043
2649,0,10,0,0,0,16,0,23
2650,234,21849,1088,117,3483,18270,255,45297
2651,9,810,247,14,129,533,15,1750
2652,21,1480,130,24,523,1443,38,3652
2653,3,733,56,9,219,1082,23,2120
2655,3,412,24,6,112,504,5,1063
2656,6,317,68,3,134,495,6,1031
2658,0,306,33,3,148,601,14,1112
2659,0,238,46,10,93,305,5,699
2660,0,462,33,10,142,598,10,1254
2661,5,103,149,150,29,130,11,569
2663,12,1356,64,18,280,2536,31,4292
2665,0,485,77,17,295,888,15,1771
2666,21,1653,177,16,460,2233,38,4595
2668,0,74,12,4,42,215,0,353
2669,3,409,52,32,247,543,20,1306
2671,80,1211,102,15,319,1513,37,3284
2672,3,404,59,4,77,676,6,1228
2675,16,535,49,14,133,506,7,1273
2678,0,59,10,0,46,206,10,328
2680,55,9068,353,60,1203,8048,153,18955
2681,0,663,32,4,121,521,16,1356
2700,4,1429,148,18,292,2050,27,3978
2701,9,726,49,10,191,871,17,1866
2702,3,191,9,5,49,347,3,612
2703,0,198,26,0,49,450,6,724
2705,15,3529,212,21,563,3704,69,8116
2706,0,373,32,4,65,436,6,918
2707,0,417,67,7,161,395,3,1053
2710,12,3186,272,32,745,4016,70,8333
2711,11,1011,139,23,301,1254,31,2771
2712,0,344,49,16,115,614,10,1147
2713,0,759,100,3,275,1133,19,2294
2714,8,651,79,8,197,1335,13,2308
2715,0,424,77,14,111,553,7,1189
2716,5,321,44,8,88,438,9,913
2717,0,291,37,5,77,670,10,1091
2720,16,2605,133,11,475,3193,44,6489
2721,0,33,7,0,54,93,0,195
2722,8,1048,74,13,214,1204,23,2583
2725,0,82,3,0,33,176,3,303
2726,3,78,5,0,18,74,10,187
2727,0,100,12,11,50,88,0,266
2729,0,516,32,3,186,593,4,1338
2730,6,428,37,6,82,604,18,1190
2731,10,2050,111,12,493,2557,37,5282
2732,8,497,51,20,151,793,10,1521
2733,13,144,29,9,44,186,3,436
2734,0,150,9,0,58,152,3,374
2735,3,135,6,4,40,178,0,368
2736,0,96,21,0,42,157,6,323
2737,0,266,21,4,50,276,4,627
2738,0,644,19,5,125,458,9,1271
2739,6,468,22,5,104,489,7,1098
2745,1419,12054,167,59,2077,6621,102,22513
2747,2803,14760,327,65,2364,12557,181,33060
2748,64,739,28,9,152,592,11,1592
2749,863,6508,59,26,1072,4459,66,13058
2750,2664,14979,551,76,2494,15315,136,36218
2752,110,2105,19,6,307,1267,21,3846
2753,524,6185,290,57,1149,5689,65,13961
2754,107,2126,41,5,364,1953,26,4620
2755,0,49,68,0,19,95,0,229
2756,905,13643,326,77,2248,9267,186,26652
2757,16,328,0,5,65,271,7,689
2758,211,3417,45,17,715,2582,56,7047
2759,1370,10943,91,59,1347,7024,99,20940
2760,2229,10294,217,49,1274,12041,179,26291
2761,2496,10701,150,43,1225,8875,137,23619
2762,459,1711,31,11,312,1219,11,3756
2763,3263,10626,132,65,1600,7900,129,23727
2765,639,5298,185,36,988,5925,51,13121
2766,1539,4612,91,31,618,5399,87,12376
2767,2655,6511,76,45,854,7586,102,17837
2768,3004,9347,165,73,1581,7795,120,22095
2769,1274,3850,38,27,686,2378,46,8295
2770,3501,14650,312,93,1794,25359,373,46078
2773,462,2005,57,15,479,1821,15,4848
2774,898,4397,98,17,1054,3759,38,10263
2775,31,416,31,13,119,709,3,1317
2776,240,1432,24,4,305,1172,17,3191
2777,936,6015,192,34,1313,5711,46,14244
2778,167,804,12,0,207,807,8,2006
2779,284,1578,40,14,421,1534,12,3874
2780,633,3161,430,54,1220,5784,58,11338
2782,256,1614,47,8,561,2566,20,5074
2783,168,796,33,3,223,899,10,2132
2784,83,375,3,0,103,425,4,993
2785,160,1174,85,7,466,1929,13,3836
2786,39,302,11,7,117,606,3,1087
2787,10,1376,82,11,320,1852,37,3691
2790,118,4363,337,26,960,7299,77,13176
2791,0,95,8,5,33,163,0,300
