MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
5311,6,113,16,9,68,133,0,350
5320,6,132,27,9,44,357,0,576
5321,4,101,8,0,30,370,0,519
5322,5,372,22,0,75,365,10,846
5330,6,959,92,10,255,1429,22,2778
5331,0,94,8,0,28,135,0,257
5332,0,115,7,6,27,171,0,328
5333,18,1998,116,15,418,2181,29,4766
5340,11,541,24,15,99,488,4,1177
5341,16,2523,160,20,450,3134,45,6349
5342,3,476,26,3,79,335,5,934
5343,22,1456,99,4,236,2116,25,3960
5344,0,328,9,6,92,336,16,794
5345,0,1070,70,14,210,1583,19,2976
5346,0,145,12,0,21,134,0,310
5350,6,191,0,0,52,112,0,364
5351,73,2127,50,21,520,1874,18,4683
5352,34,1884,109,24,470,1816,18,4341
5353,12,1340,71,12,338,1302,18,3101
5354,3,87,13,0,33,196,4,337
5355,36,2619,153,29,658,2609,32,6133
5356,6,286,11,5,97,264,10,671
5357,0,91,5,4,37,210,4,355
5360,9,453,6,3,107,296,4,878
5371,18,516,21,14,102,320,3,990
5372,17,827,28,3,165,647,12,1689
5373,12,1080,72,16,304,1307,19,2805
5374,4,378,28,10,178,616,12,1225
5381,0,98,11,4,39,175,7,319
5400,11,316,17,3,103,254,6,706
5401,4,244,14,3,66,339,9,680
5410,5,86,5,0,39,139,3,266
5411,0,82,6,0,29,124,5,247
5412,0,304,49,0,97,576,6,1030
5413,3,216,23,12,103,333,3,692
5414,0,30,0,0,36,60,0,127
5415,0,67,9,0,36,78,5,186
5416,0,80,10,0,32,73,0,194
5417,0,386,43,0,149,627,6,1216
5418,4,41,4,0,6,43,0,99
5419,0,53,10,0,37,91,0,186
5420,0,28,0,0,9,22,0,69
5421,0,21,0,0,8,93,0,124
5422,3,335,44,4,113,920,11,1435
5431,0,237,37,11,136,340,0,756
5432,0,36,5,3,33,38,0,123
5433,9,349,34,5,111,565,4,1077
5434,3,84,58,4,48,183,3,382
5440,7,58,29,11,49,72,0,227
5451,3,240,9,0,77,273,5,604
5452,0,140,16,4,66,119,4,352
5453,15,1735,122,29,455,1602,23,3988
5454,0,99,10,3,55,147,6,316
5455,0,12,3,0,10,17,0,45
5460,0,217,10,5,88,283,4,608
5461,7,744,80,6,195,1036,21,2087
5462,0,166,18,3,62,139,4,392
5464,0,155,25,6,80,228,0,496
5470,0,35,3,0,20,68,0,119
5471,0,11,0,0,17,40,0,77
5472,0,35,7,0,14,78,0,138
5473,0,186,26,3,54,348,0,614
5480,5,213,29,5,113,285,4,649
5481,0,139,26,3,69,239,7,491
5482,4,125,27,9,71,201,9,442
5483,5,80,16,3,55,116,0,278
5485,0,192,6,7,44,236,3,492
5490,0,41,0,0,27,75,0,147
5491,4,621,55,14,169,627,13,1493
5493,0,20,0,0,9,49,0,76
5495,4,158,10,0,47,318,0,542
5501,64,2698,67,22,499,2482,32,5869
5502,10,535,33,10,137,532,12,1271
5510,0,36,3,0,5,40,3,96
5520,3,127,15,3,54,275,11,489
5521,0,27,9,0,15,77,5,121
5522,0,275,51,8,120,811,10,1269
5523,5,541,54,4,194,762,7,1563
5540,73,4483,241,37,786,6932,66,12620
5550,0,265,37,3,70,342,11,727
5552,0,82,24,8,46,143,0,308
5554,17,1524,106,20,369,2206,38,4272
5555,0,114,14,8,74,230,3,438
5556,10,987,52,13,223,2175,18,3477
5558,10,1188,50,9,312,2560,19,4161
5560,0,97,9,3,53,208,0,376
5570,0,101,16,7,47,329,0,499
5571,5,385,40,0,159,1017,13,1625
5572,0,45,4,0,24,49,4,125
5573,3,467,88,8,205,903,9,1684
5575,8,534,96,9,243,1097,24,2002
5576,0,277,44,6,110,464,3,899
5577,0,124,34,10,60,222,5,455
5580,0,84,9,3,52,131,3,289
5581,0,97,23,0,39,343,0,508
5582,0,121,18,6,56,379,4,585
5583,0,140,26,4,49,473,5,692
5600,115,2135,170,10,378,2378,17,5204
5601,10,139,10,0,27,206,0,395
5602,19,330,42,8,147,546,15,1108
5603,5,126,24,4,61,130,0,349
5604,0,57,8,0,19,91,0,182
5605,3,465,36,3,141,791,8,1450
5606,63,4904,204,46,868,5228,82,11394
5607,29,1533,81,20,516,1748,23,3952
5608,189,3268,206,33,662,6297,44,10696
5609,58,720,11,0,116,548,6,1461
5630,0,44,4,0,21,32,0,104
5631,5,327,41,6,127,303,11,817
5632,3,79,7,0,45,43,3,181
5633,0,65,27,0,69,90,0,257
5640,0,299,56,0,109,361,4,837
5641,0,291,58,4,143,280,5,784
5642,0,60,9,0,50,62,0,184
5650,0,42,11,0,32,48,3,134
5651,0,29,4,0,14,9,0,60
5652,0,216,58,7,91,188,0,554
5653,0,30,3,0,15,9,0,59
5654,0,61,15,0,37,80,0,193
5655,3,37,0,0,16,18,0,69
5660,0,9,0,4,11,5,0,30
5661,0,32,15,5,27,35,0,107
5670,0,120,32,0,70,164,3,382
5671,0,50,6,3,32,45,3,132
5680,3,645,71,9,215,762,23,1728
5690,24,1104,166,21,224,1334,24,2896
5700,55,3222,257,35,618,4752,61,8999
5701,0,0,0,0,8,5,0,9
5710,17,829,14,12,174,1145,11,2197
5713,0,4,0,0,5,3,0,14
5715,0,3,6,0,9,7,0,29
5717,0,0,3,0,6,0,0,13
5719,0,13,7,0,7,11,0,41
5720,3,72,33,4,19,53,0,180
5722,0,83,5,0,24,157,0,274
5723,67,518,104,38,102,927,20,1771
5724,0,36,82,4,12,211,4,350
5725,125,1611,87,17,327,661,30,2862
5730,0,17,11,0,17,37,0,81
5731,6,127,86,24,29,131,9,417
5732,10,30,29,13,13,95,5,191
5733,0,25,42,6,42,88,0,204
5734,0,14,15,0,5,88,4,134
5950,0,0,0,0,0,0,0,0
5960,0,0,0,0,0,6,0,5
6000,1197,2356,1792,106,778,4335,69,10626
6003,423,897,374,24,248,1298,29,3295
6004,1793,2335,941,76,674,4086,67,9973
6005,726,1396,645,39,360,2099,26,5284
6006,687,2917,404,40,622,2660,34,7364
6007,745,2191,498,33,542,2104,24,6148
6008,1378,3836,1096,75,1164,5037,69,12659
6009,804,4729,843,71,1419,7529,83,15480
6010,943,4692,527,62,1249,6360,55,13901
6011,515,2743,250,44,716,3083,41,7392
6012,552,2598,208,33,628,3186,41,7250
6014,1215,6628,631,72,1538,6141,79,16306
6015,174,2045,102,32,545,2374,25,5298
6016,788,3387,362,43,694,2691,41,8018
6017,308,1626,82,22,221,1363,13,3648
6018,1804,13350,570,211,2714,12125,147,30919
6019,1119,8598,364,153,1614,6332,103,18284
6020,896,7278,190,105,1740,6597,71,16873
6021,969,7103,200,96,1165,7167,79,16776
6022,244,1747,41,24,329,1635,28,4052
6023,824,5144,151,69,1184,4593,60,12014
6024,756,4582,97,56,985,4297,68,10830
6025,1497,10737,290,178,2347,9089,129,24266
6026,1287,8032,191,108,1708,6805,71,18203
6027,2306,15235,530,253,3122,12555,216,34221
6028,1419,8642,151,129,1744,5563,93,17746
6029,112,967,33,19,252,882,13,2284
6030,2154,12891,290,285,2465,12520,196,30804
6031,763,6231,103,122,1086,3916,77,12304
6032,3,64,21,0,27,54,0,167
6033,7,129,8,6,55,156,10,365
6034,103,664,19,12,109,341,11,1260
6035,308,2644,53,72,605,2946,58,6689
6036,980,4913,118,117,1053,4312,92,11589
6037,85,772,14,28,246,1182,33,2359
6038,439,2207,28,54,488,1376,37,4640
6041,27,359,17,8,104,699,12,1231
6042,0,20,5,5,3,44,0,77
6043,4,39,5,5,27,127,6,208
6044,24,308,37,15,98,592,7,1082
6050,1161,4754,577,73,1171,5433,54,13224
6051,1389,4282,365,87,879,3873,56,10940
6052,891,3710,209,69,809,3452,40,9172
6053,1105,4849,325,79,988,4546,69,11964
6054,1168,6563,291,80,1281,7223,96,16702
6055,949,7816,197,139,1422,6013,106,16653
6056,1370,13174,493,237,2444,14295,209,32214
6057,523,6355,137,106,1026,5256,78,13475
6058,371,4734,107,97,737,4270,52,10368
6059,1129,8201,211,82,1424,8578,113,19735
6060,1630,8729,306,129,1387,7884,87,20160
6061,1818,12621,221,167,1697,14614,207,31335
6062,1506,11556,307,158,1750,12049,155,27474
6063,564,5006,82,63,677,4807,77,11269
6064,1020,10443,148,128,1396,11655,176,24951
6065,2704,23358,392,355,4042,16505,254,47624
6066,585,7112,124,88,1069,5898,110,14985
6067,0,0,0,0,0,21,0,25
6068,0,0,5,0,0,0,0,7
6069,1177,14405,316,300,2617,10087,131,29030
6070,133,1253,39,17,270,1156,19,2887
6071,121,1219,28,15,285,1107,16,2789
6072,24,310,0,3,53,346,5,749
6073,74,977,36,21,252,1172,22,2546
6074,18,342,8,9,84,342,15,815
6076,484,7264,239,100,1705,8153,72,18022
6077,28,497,14,12,141,540,12,1231
6078,19,311,15,8,113,306,14,773
6079,0,3,0,0,7,18,0,26
6081,122,1733,36,31,392,1445,24,3790
6082,79,1165,34,23,228,1023,9,2570
6083,96,1246,32,27,349,1129,24,2908
6084,135,2794,125,61,751,2620,62,6552
6090,0,4,0,0,0,3,0,11
6100,1478,4916,421,99,1015,4623,70,12620
6101,1370,5469,402,97,1032,5606,74,14047
6102,805,3647,195,49,659,6778,68,12202
6103,761,3540,148,73,572,3818,50,8960
6104,721,4916,206,98,811,5238,80,12075
6105,726,4837,192,79,699,5645,77,12257
6106,0,4,0,0,5,14,0,19
6107,2539,14731,379,238,2293,14885,217,35275
6108,1117,7995,142,116,1281,7953,102,18711
6109,415,3651,110,60,561,4802,76,9669
6110,1569,13626,220,216,2137,13844,172,31771
6111,789,7673,177,133,1545,8279,105,18695
6112,2217,19542,349,300,3203,17312,272,43190
6121,72,1126,48,14,296,819,8,2385
6122,507,6622,90,144,1068,4296,69,12800
6123,32,538,14,12,114,505,6,1218
6124,27,351,17,8,133,395,5,942
6125,53,994,51,17,307,1108,18,2552
6126,0,81,9,0,40,451,0,579
6147,770,5154,125,79,722,5491,72,12410
6148,831,5626,222,70,1166,6645,62,14620
6149,1071,6269,231,71,1349,6297,55,15351
6150,739,4001,186,39,937,5293,69,11271
6151,1180,5405,511,89,1227,5610,56,14078
6152,1563,8325,524,96,1690,9557,103,21854
6153,1090,6392,324,88,1565,7091,46,16598
6154,460,3197,175,40,698,3538,32,8133
6155,2660,18057,435,217,3098,15953,176,40589
6156,667,5653,243,77,1151,5620,61,13472
6157,561,4715,198,56,1043,4507,58,11136
6158,324,2526,193,43,616,2310,23,6031
6159,239,1037,98,16,271,1251,20,2930
6160,613,2224,458,60,667,3286,31,7348
6161,4,5,63,3,7,212,0,297
6162,621,3287,376,65,861,3974,50,9239
6163,2228,17301,586,260,3154,18707,255,42496
6164,3224,21318,446,333,3780,14605,267,43968
6165,0,23,0,0,12,38,0,75
6166,316,3676,76,38,645,3023,63,7838
6167,1222,7633,167,130,1416,10062,156,20788
6168,841,6562,355,305,1277,11016,121,20477
6169,1401,10412,236,281,2120,13276,157,27888
6170,1079,4051,77,79,688,3335,56,9373
6171,1453,10392,211,324,2178,8345,141,23041
6172,545,4285,104,125,921,4399,53,10424
6173,543,4130,75,140,915,2853,51,8704
6174,151,1251,27,41,290,1027,15,2797
6175,132,1241,35,39,259,1060,8,2773
6176,45,495,10,13,126,390,8,1084
6180,204,1686,37,59,350,1639,21,4001
6181,8,181,7,0,43,139,0,381
6182,0,0,0,0,0,0,0,3
6207,17,305,17,3,126,365,11,838
6208,206,3066,97,82,814,5226,61,9548
6209,37,516,15,18,149,926,5,1665
6210,1979,18319,568,477,4242,30667,332,56589
6211,188,1884,38,72,538,2916,35,5668
6213,11,179,35,4,81,286,7,593
6214,11,193,17,8,80,180,8,499
6215,37,1127,58,20,350,1750,33,3380
6218,4,92,4,0,34,171,7,316
6220,34,1487,75,16,326,1882,21,3845
6221,3,84,6,0,36,212,4,353
6223,0,68,5,4,30,60,0,171
6224,7,352,12,3,113,449,6,944
6225,132,2439,106,27,665,3957,58,7382
6226,16,303,3,6,90,214,9,639
6227,6,262,10,6,72,220,5,575
6228,0,59,0,0,15,58,0,143
6229,0,48,11,0,14,100,0,171
6230,514,14941,671,161,2539,15630,195,34655
6232,157,3829,78,47,724,3615,51,8515
6233,288,6553,128,94,1245,5992,97,14391
6236,14,726,26,14,254,627,9,1671
6237,29,875,30,15,272,748,20,1985
6239,33,1297,75,35,391,1706,24,3554
6240,0,39,3,3,16,40,0,106
6243,0,13,0,0,6,23,0,46
6244,8,322,61,14,224,543,3,1184
6251,0,95,20,0,45,154,0,318
6252,4,32,11,0,24,61,0,132
6253,7,151,16,3,81,275,5,539
6254,0,128,3,3,22,240,3,405
6255,29,1097,69,28,389,1603,22,3231
6256,4,129,3,0,64,102,5,316
6258,37,2259,130,26,526,2275,38,5294
6260,7,391,95,3,162,488,16,1171
6262,4,168,20,3,96,315,6,611
6271,20,1067,45,9,274,1161,36,2612
6275,3,300,61,12,154,595,12,1134
6280,247,8831,536,157,2110,10549,157,22594
6281,90,2324,131,52,760,2159,46,5561
6282,15,400,32,8,170,433,6,1063
6284,26,677,46,22,278,574,26,1641
6285,93,3057,281,72,1035,2455,63,7054
6286,0,204,18,3,112,173,5,513
6288,3,158,28,9,66,160,11,431
6290,20,363,45,7,162,907,10,1515
6302,27,923,71,27,342,1599,20,3004
6304,12,378,49,19,191,797,11,1457
6306,4,220,43,11,126,427,15,850
6308,8,372,48,17,180,682,9,1310
6309,3,55,3,5,29,134,0,232
6311,5,170,11,10,66,205,7,472
6312,23,1467,145,17,292,1879,35,3855
6313,0,84,5,4,30,127,0,247
6315,7,531,77,13,175,816,7,1629
6316,6,83,19,3,68,95,4,269
6317,36,1361,85,21,247,1560,23,3341
6318,0,145,21,8,65,173,9,411
6320,0,110,23,4,77,235,4,459
6321,3,120,25,8,79,166,0,398
6322,0,49,3,3,34,90,6,191
6323,7,234,12,7,113,465,3,844
6324,12,975,94,17,345,1418,14,2878
6326,0,147,10,3,95,151,0,411
6327,0,77,11,3,36,82,3,218
6328,0,107,14,3,83,127,9,340
6330,211,12174,535,133,2397,13597,181,29233
6333,24,1488,150,26,636,2467,33,4838
6335,8,238,40,7,54,259,6,617
6336,3,81,20,3,59,88,0,257
6337,0,162,25,9,79,123,0,412
6338,0,203,45,0,100,203,7,561
6341,0,85,20,9,45,67,4,232
6343,0,52,21,0,54,66,4,196
6346,33,183,57,9,111,209,4,613
6348,41,189,18,0,54,405,3,715
6350,0,68,22,0,41,124,4,259
6351,0,26,0,5,16,17,0,64
6352,0,43,6,3,36,57,0,146
6353,8,251,48,4,118,188,7,628
6355,3,118,32,8,83,79,0,322
6356,0,33,15,4,26,23,0,98
6357,0,24,0,4,21,9,5,62
6358,0,25,13,3,27,17,0,79
6359,3,161,37,13,51,88,6,353
6361,0,35,6,0,21,25,0,88
6363,0,19,10,0,23,25,0,75
6365,3,133,47,5,75,160,8,431
6367,5,91,26,8,42,114,5,286
6368,0,24,0,0,20,12,0,63
6369,5,169,60,8,78,235,8,559
6370,5,124,32,8,55,131,8,356
6372,3,18,3,3,17,51,0,102
6373,0,22,7,3,21,13,3,72
6375,5,278,41,10,112,352,9,802
6383,8,208,46,10,81,472,6,821
6384,0,10,0,0,10,9,0,26
6385,0,5,0,0,5,6,0,16
6386,0,13,4,0,24,39,5,83
6390,29,567,43,11,164,571,19,1410
6391,3,320,45,9,136,269,11,796
6392,0,147,17,6,69,127,0,372
6393,0,22,3,7,28,38,0,98
6394,0,109,17,11,105,123,3,368
6395,6,480,68,19,198,514,19,1295
6396,0,107,28,6,46,109,0,300
6397,0,15,0,0,20,42,0,72
6398,0,103,32,5,55,271,7,479
6401,50,2264,171,27,507,3560,38,6615
6403,0,50,4,0,20,66,0,142
6405,0,90,8,5,50,91,3,246
6407,10,312,66,3,81,464,3,931
6409,3,111,15,3,34,142,0,312
6410,10,235,53,9,76,457,10,852
6411,0,30,5,0,24,49,0,108
6412,3,16,4,0,7,13,0,46
6413,0,15,4,0,5,21,0,43
6414,0,21,6,0,8,20,0,53
6415,26,949,94,12,221,1091,18,2422
6418,4,172,49,3,58,261,0,559
6419,0,18,3,0,8,14,0,43
6420,0,18,18,0,15,31,0,92
6421,0,41,3,6,14,50,0,115
6422,0,19,4,0,0,14,0,38
6423,9,69,20,0,18,61,7,186
6424,5,21,8,0,11,21,0,70
6425,0,22,13,3,14,30,0,76
6426,19,250,35,8,74,315,8,714
6427,24,15,11,4,5,29,4,92
6428,0,15,4,0,10,8,0,42
6429,10,245,45,6,41,437,4,786
6430,534,9232,487,71,1101,5871,132,17423
6431,55,106,111,28,26,497,9,830
6432,160,2569,108,31,314,2321,36,5537
6434,24,39,6,3,16,51,10,157
6436,0,14,10,0,3,53,3,89
6437,78,130,21,15,31,190,4,465
6438,66,178,70,34,26,314,22,711
6440,149,269,79,50,24,410,30,1008
6442,102,775,42,10,130,854,10,1914
6443,34,192,67,6,54,373,14,735
6445,0,33,15,6,38,57,0,148
6446,0,23,5,6,33,31,3,101
6447,0,51,7,0,43,43,0,144
6448,0,96,22,7,44,192,6,368
6450,77,4407,297,50,1051,4642,105,10635
6452,0,0,0,0,0,4,0,3
6460,0,185,37,8,60,307,9,604
6461,0,131,28,3,52,185,9,416
6462,0,26,4,0,25,32,0,94
6463,0,3,0,0,0,6,0,16
6465,0,4,0,0,10,5,0,22
6466,0,15,7,0,16,18,0,58
6467,0,0,3,0,5,8,0,23
6468,4,62,19,0,37,75,0,198
6470,0,6,0,0,0,3,0,9
6472,0,48,12,7,38,28,0,132
6473,0,8,0,0,5,14,0,35
6475,0,106,16,0,51,135,0,320
6476,0,13,3,0,5,18,0,40
6477,0,65,24,5,36,84,4,221
6479,4,129,46,12,67,159,11,434
6480,0,18,4,0,4,10,0,37
6484,15,21,6,6,5,39,3,95
6485,0,114,18,0,51,241,0,420
6487,0,6,6,0,11,13,0,44
6488,0,47,9,0,13,89,0,161
6489,0,19,0,0,11,58,0,91
6490,6,74,9,0,19,92,0,206
6501,9,302,19,4,111,342,11,804
6502,19,319,18,14,94,491,7,958
6503,20,646,96,18,244,735,14,1769
6504,0,43,6,5,21,69,0,140
6505,0,30,7,0,34,30,0,100
6506,0,19,7,0,8,18,0,56
6507,7,176,34,10,90,137,4,447
6509,0,41,18,8,22,77,0,163
6510,16,632,77,11,153,675,10,1574
6511,3,122,36,8,47,243,3,456
6512,0,28,10,3,21,16,5,78
6513,0,62,15,3,30,53,0,172
6514,4,102,22,10,42,375,7,554
6515,0,96,28,8,46,71,9,247
6516,23,459,47,18,119,795,19,1477
6517,3,116,45,5,31,129,0,329
6518,0,49,15,0,30,80,0,177
6519,6,163,27,0,58,185,4,448
6521,3,110,30,12,78,68,0,303
6522,7,132,31,3,53,138,7,367
6525,39,921,64,20,318,1569,30,2957
6528,6,114,17,6,42,153,0,338
6530,296,10905,563,137,1844,11810,169,25726
6532,64,2224,102,57,605,2203,41,5294
6535,19,336,51,12,187,725,11,1346
6536,19,376,90,18,160,671,19,1337
6537,7,209,98,6,64,342,15,742
6556,41,709,19,16,193,646,23,1649
6558,16,248,5,6,86,2115,0,2479
6560,17,440,18,16,96,517,8,1106
6562,16,408,10,9,133,438,6,1009
6564,0,91,4,5,26,147,0,272
6566,42,871,38,40,282,1473,21,2774
6567,8,104,0,0,58,180,0,363
6568,0,65,10,3,40,73,3,197
6569,4,88,4,0,27,89,0,214
6571,0,20,4,0,19,15,0,57
6572,0,16,4,0,9,21,0,50
6574,0,18,4,3,19,21,0,62
6575,0,32,18,3,20,29,5,101
6603,7,361,69,10,105,311,3,871
6605,0,11,5,0,4,5,0,29
6606,5,44,14,4,19,50,3,137
6608,0,41,15,0,15,35,0,98
6609,0,316,37,12,69,219,8,664
6612,0,46,17,3,26,75,3,178
6613,0,10,7,0,8,21,0,43
6614,0,7,0,0,8,3,0,18
6616,3,13,6,0,7,17,0,45
6620,49,151,37,23,45,111,6,429
6623,0,163,39,8,54,259,4,534
6625,0,11,3,0,8,14,4,43
6627,0,14,0,0,12,20,0,50
6628,0,6,0,0,10,15,0,22
6630,4,131,45,5,52,227,0,475
6631,0,10,0,0,4,11,0,24
6632,0,10,4,3,10,12,0,45
6635,33,55,39,21,21,129,7,305
6638,4,88,28,0,26,243,0,388
6639,0,10,17,0,7,49,0,87
6640,0,32,16,7,12,101,0,171
6642,41,217,81,43,45,418,30,878
6646,94,113,51,52,26,286,29,662
6701,72,1415,368,41,405,2067,46,4418
6705,0,26,28,0,19,124,3,197
6707,27,866,187,32,259,741,30,2148
6710,1709,487,311,85,114,1068,81,3856
6711,0,0,0,0,0,0,0,0
6712,1195,80,39,135,72,415,37,1967
6713,12,432,28,10,89,211,11,783
6714,646,6397,369,128,1025,3960,163,12687
6716,156,85,73,17,62,143,19,552
6718,8,115,46,3,9,630,0,827
6720,222,692,61,13,195,662,15,1869
6721,54,1848,190,44,303,1089,48,3577
6722,104,3614,143,47,532,2885,78,7398
6725,72,3207,649,61,614,3527,84,8230
6726,34,1992,184,39,388,1440,43,4125
6728,39,1138,350,52,180,2591,53,4406
6731,0,0,0,0,0,3,0,3
6733,0,0,0,0,0,0,0,0
6740,3,181,107,10,37,609,12,950
6743,74,1992,474,43,345,1846,51,4832
6751,853,1143,210,193,337,1097,138,3962
6753,754,1854,343,292,383,2137,162,5923
6754,183,323,56,12,116,277,4,973
6758,600,293,92,201,47,339,87,1661
6760,41,85,79,15,26,239,16,496
6762,122,175,76,66,22,286,40,785
6765,4,260,183,7,38,812,22,1318
6770,25,244,239,8,74,1515,28,2131
7000,305,3440,2186,41,1175,4770,51,11980
7001,0,0,0,0,0,0,0,0
7004,193,1703,935,18,661,2917,18,6450
7005,413,3399,919,39,1048,5772,47,11646
7007,74,1065,59,15,261,1049,6,2523
7008,513,3770,522,40,909,4227,45,10024
7009,443,3864,288,26,707,4848,48,10230
7010,480,4800,247,34,862,7377,103,13907
7011,341,4818,113,24,822,5707,71,11891
7012,9,315,3,0,72,273,5,671
7015,348,3476,161,21,715,4031,36,8784
7016,53,658,6,5,114,1475,3,2312
7017,68,2333,22,11,436,1661,22,4555
7018,760,6861,289,48,1341,8147,80,17520
7019,151,1776,39,17,298,2330,27,4631
7020,28,1057,15,6,215,631,6,1955
7021,40,896,24,6,201,732,12,1914
7022,13,298,7,8,62,347,3,746
7023,5,89,3,0,38,160,3,295
7024,0,215,4,0,35,159,0,414
7025,8,597,38,0,160,595,10,1415
7026,8,326,18,3,84,311,4,755
7027,0,73,4,0,28,147,4,256
7030,187,5354,130,29,989,6580,90,13355
7050,355,3993,169,28,927,4484,37,9992
7052,221,2534,62,16,534,2400,21,5786
7053,112,1051,90,5,321,1295,13,2884
7054,138,3107,103,27,758,2515,39,6692
7055,12,163,5,0,39,110,0,324
7109,70,2801,93,21,681,3417,56,7139
7112,16,742,50,3,247,1433,13,2511
7113,9,284,22,0,81,526,0,922
7116,11,577,28,3,173,1039,14,1850
7117,3,212,17,6,65,446,5,755
7119,0,10,0,4,8,9,0,36
7120,3,444,39,7,169,847,13,1520
7139,0,0,0,0,0,0,0,0
7140,97,3141,129,29,692,4764,77,8929
7150,40,878,36,11,249,1164,10,2378
7155,12,232,13,7,71,333,3,675
7162,9,181,7,0,61,238,4,504
7163,4,86,3,0,27,147,7,275
7170,90,2073,35,28,434,1334,17,4008
7171,28,1291,13,12,198,1104,16,2654
7172,22,1180,52,3,255,1461,25,3001
7173,58,2263,38,12,466,2492,25,5354
7174,0,45,3,0,27,71,0,150
7175,0,58,0,3,27,67,0,157
7176,0,51,4,0,27,58,0,134
7177,0,114,6,0,38,178,3,343
7178,4,59,3,0,27,170,0,261
7179,0,78,6,0,50,200,0,340
7180,0,20,6,0,21,87,0,138
7182,0,55,11,0,22,147,0,235
7183,0,14,0,0,9,23,0,42
7184,0,173,12,0,55,423,3,672
7185,0,25,0,0,18,44,0,89
7186,0,41,0,0,24,82,0,144
7187,0,19,5,0,20,75,0,121
7190,8,747,83,13,247,1617,23,2731
7209,0,83,23,4,45,179,0,346
7210,0,249,54,10,76,487,9,890
7211,0,61,5,0,16,105,5,195
7212,6,598,32,0,172,796,3,1611
7213,0,54,8,0,28,154,0,248
7214,0,116,14,0,30,356,0,518
7215,6,796,111,20,310,1648,18,2911
7216,6,681,88,17,231,1868,15,2906
7248,213,4322,296,31,837,7324,71,13082
7249,136,4282,348,28,742,4986,48,10573
7250,409,16399,1243,103,3155,17900,159,39362
7252,9,977,37,8,190,1097,13,2329
7253,23,1112,48,12,216,2559,29,3992
7254,0,153,9,0,38,197,3,398
7255,4,267,43,6,93,300,3,713
7256,3,548,55,13,174,538,8,1339
7257,0,14,5,0,0,41,0,63
7258,0,390,12,3,100,270,0,779
7259,0,139,3,0,42,195,0,389
7260,8,927,95,13,216,1372,21,2646
7261,0,48,4,0,32,128,0,217
7262,4,547,25,13,105,723,10,1434
7263,0,132,12,6,67,258,3,475
7264,0,106,21,6,48,367,7,545
7265,0,63,9,0,15,108,4,199
7267,0,304,6,4,66,243,5,622
7268,4,338,12,0,100,394,3,842
7270,17,996,75,12,291,2089,22,3503
7275,11,961,24,7,271,1321,17,2615
7276,0,185,5,0,40,242,0,476
7277,27,2077,42,16,408,2049,15,4643
7290,11,925,18,8,166,678,7,1803
7291,0,210,11,3,51,188,8,466
7292,0,204,23,4,77,182,0,492
7300,11,1347,27,9,241,1153,18,2806
7301,8,1333,81,14,299,1850,17,3595
7302,13,510,57,5,133,610,4,1326
7303,9,802,45,5,224,1154,15,2265
7304,13,1534,149,28,533,2635,34,4924
7305,3,314,11,6,74,553,11,971
7306,7,1107,99,12,346,1720,28,3327
7307,31,3235,135,42,713,4236,56,8449
7310,111,8416,452,77,1595,11445,99,22197
7315,47,4541,190,34,996,6316,72,12201
7316,31,1952,70,19,460,2280,29,4838
7320,112,5039,279,37,928,6843,49,13279
7321,25,1487,64,17,400,1825,25,3844
7322,27,1226,40,6,219,1667,24,3216
7325,28,2536,104,26,616,3747,49,7108
7330,16,2250,163,33,495,2172,53,5185
7331,0,171,22,4,72,205,3,477
7466,0,5,0,0,0,13,0,13
7467,8,419,55,0,105,860,19,1463
7468,5,190,38,12,78,257,7,580
7469,0,195,22,4,33,353,9,616
7470,0,199,24,0,37,300,3,564
800,551,2038,1004,56,361,1889,37,5931
810,1182,12762,1090,178,1747,9392,202,26551
812,530,7531,305,57,927,5319,149,14808
815,17,41,16,6,43,167,0,288
820,872,8160,933,109,1031,5182,100,16393
822,411,3039,1831,94,614,12665,231,18893
828,14,305,71,10,64,487,9,959
829,13,297,257,11,105,1087,14,1791
830,650,6945,234,81,837,4839,108,13694
832,737,6641,176,69,763,2935,53,11374
834,33,794,20,5,122,486,17,1479
835,747,1404,39,35,245,2051,37,4557
836,217,3247,76,35,470,1894,53,5991
837,4,109,15,3,37,159,4,333
838,14,306,19,0,69,220,3,624
839,33,217,11,0,19,166,3,452
840,0,76,4,0,12,225,10,329
841,20,222,4,3,39,240,6,539
845,3,105,44,7,19,223,4,401
846,0,69,24,4,13,168,0,282
847,0,58,28,9,18,140,3,261
850,34,2606,316,37,375,2911,34,6317
852,51,751,753,84,218,4019,75,5950
853,4,337,91,7,46,149,0,626
854,3,165,71,4,17,345,20,619
860,14,740,248,9,120,1191,24,2352
862,3,65,120,19,47,265,8,530
870,364,7515,1185,83,1012,5306,105,15577
873,16,694,95,11,121,1056,19,2001
874,47,195,23,4,31,127,0,423
875,28,912,43,13,111,619,10,1738
880,96,1273,336,13,194,1809,31,3757
885,41,301,71,11,64,137,9,633
886,20,342,90,6,73,283,9,823
2600,217,2338,499,32,564,2517,17,6191
2601,270,778,1003,15,593,3583,5,6253
2602,1472,9551,2370,85,2104,9664,97,25346
2603,294,3267,582,27,618,3057,31,7873
2604,466,3940,750,32,649,3138,31,8997
2605,411,3643,470,31,783,4045,36,9416
